113525713@N07,11783970163_f4f3cba06c_o.jpg,1032,(15-20),f,0 1,0 0 0 1 0 0 0 0
115021413@N07,12058962325_37b4b35ae0_o.jpg,950,(8-12),f,0 1,0 0 1 0 0 0 0 0
30601258@N03,9350356142_3965bd50a9_o.jpg,2,(25-32),m,1 0,0 0 0 0 1 0 0 0
86629393@N00,11697930804_791d2ca2d5_o.jpg,1796,(38-43),m,1 0,0 0 0 0 0 1 0 0
20254529@N04,9403125047_17022184c8_o.jpg,14,(4-6),f,0 1,0 1 0 0 0 0 0 0
10001312@N04,8531927538_b1e1446a79_o.jpg,616,(25-32),m,1 0,0 0 0 0 1 0 0 0
50739822@N00,11199870306_4f76594b37_o.jpg,1364,(8-12),m,1 0,0 0 1 0 0 0 0 0
20254529@N04,9406491248_5c42627a4f_o.jpg,14,(4-6),f,0 1,0 1 0 0 0 0 0 0
10280355@N07,11368006165_b36380af8f_o.jpg,1848,(48-53),f,0 1,0 0 0 0 0 0 1 0
10792106@N03,11039274833_219316758d_o.jpg,536,(15-20),m,1 0,0 0 0 1 0 0 0 0
9855553@N08,11658446456_b9d34819ac_o.jpg,1570,(25-32),f,0 1,0 0 0 0 1 0 0 0
68825596@N05,11594348474_7995fc5d07_o.jpg,296,(4-6),f,0 1,0 1 0 0 0 0 0 0
31040257@N06,11853615715_e0896172fa_o.jpg,359,(25-32),f,0 1,0 0 0 0 1 0 0 0
31442459@N00,11549334764_b18e50312c_o.jpg,2206,(15-20),m,1 0,0 0 0 1 0 0 0 0
10792106@N03,11081115853_bf555227f1_o.jpg,518,(15-20),m,1 0,0 0 0 1 0 0 0 0
61777259@N08,11835853724_efe56d6aac_o.jpg,1255,(4-6),m,1 0,0 1 0 0 0 0 0 0
20254529@N04,9981732215_12862f9950_o.jpg,81,(38-43),f,0 1,0 0 0 0 0 1 0 0
37920461@N06,11683098384_9b7dbd6708_o.jpg,830,(8-12),m,1 0,0 0 1 0 0 0 0 0
31040257@N06,9726862445_b391e70b86_o.jpg,359,(25-32),f,0 1,0 0 0 0 1 0 0 0
7890646@N03,11079775854_8d50096747_o.jpg,1401,(8-12),f,0 1,0 0 1 0 0 0 0 0
8187011@N06,9233068152_01a8c2e1d6_o.jpg,989,(4-6),f,0 1,0 1 0 0 0 0 0 0
7890646@N03,10693548904_2fa3cc0743_o.jpg,1388,(4-6),f,0 1,0 1 0 0 0 0 0 0
7398884@N04,8725895529_f9944e1593_o.jpg,1663,(15-20),m,1 0,0 0 0 1 0 0 0 0
29671106@N00,11192897575_50ba9c797b_o.jpg,197,(8-12),m,1 0,0 0 1 0 0 0 0 0
62282816@N03,11768237475_718fedb8bd_o.jpg,1470,(38-43),m,1 0,0 0 0 0 0 1 0 0
113715068@N06,11856621234_e4c542a2c8_o.jpg,1410,(15-20),m,1 0,0 0 0 1 0 0 0 0
20254529@N04,9981673676_6a815a93e9_o.jpg,66,(38-43),m,1 0,0 0 0 0 0 1 0 0
62501130@N02,11285939424_2c3e979fcc_o.jpg,100,(25-32),f,0 1,0 0 0 0 1 0 0 0
28754132@N06,9374573862_01a33abb49_o.jpg,610,(8-12),m,1 0,0 0 1 0 0 0 0 0
64504106@N06,11813861416_7dd57e2936_o.jpg,920,(38-43),m,1 0,0 0 0 0 0 1 0 0
101071073@N04,10697900015_0cc6881599_o.jpg,708,(25-32),f,0 1,0 0 0 0 1 0 0 0
20254529@N04,9405946772_fbe0c4d242_o.jpg,18,(25-32),m,1 0,0 0 0 0 1 0 0 0
8410632@N03,8534527968_5cd9d234e6_o.jpg,1784,(0-2),f,0 1,1 0 0 0 0 0 0 0
34158582@N02,10282893003_4a27deaed0_o.jpg,401,(0-2),f,0 1,1 0 0 0 0 0 0 0
62501130@N02,11285934276_bfc6d91e15_o.jpg,130,(4-6),f,0 1,0 1 0 0 0 0 0 0
115321157@N03,12112719603_d96d576383_o.jpg,1747,(25-32),m,1 0,0 0 0 0 1 0 0 0
30601258@N03,8748603502_8bdd907203_o.jpg,8,(25-32),m,1 0,0 0 0 0 1 0 0 0
113445054@N07,11765418506_6580e999c1_o.jpg,1350,(25-32),f,0 1,0 0 0 0 1 0 0 0
20254529@N04,9931616164_247381f224_o.jpg,44,(48-53),m,1 0,0 0 0 0 0 0 1 0
111700049@N08,11842811535_0ce40532a8_o.jpg,1547,(4-6),f,0 1,0 1 0 0 0 0 0 0
8034587@N06,11298947704_35b6d491e9_o.jpg,699,(4-6),f,0 1,0 1 0 0 0 0 0 0
10255165@N05,8321826421_f29b10945c_o.jpg,2046,(8-12),f,0 1,0 0 1 0 0 0 0 0
8410632@N03,11257339363_eb0cb58014_o.jpg,1787,(38-43),f,0 1,0 0 0 0 0 1 0 0
10354155@N05,11938118596_98ca1a1f4c_o.jpg,424,(25-32),f,0 1,0 0 0 0 1 0 0 0
64504106@N06,11840025304_78bde54b01_o.jpg,911,(0-2),m,1 0,1 0 0 0 0 0 0 0
62501130@N02,11305772974_b8ca7101b5_o.jpg,100,(25-32),f,0 1,0 0 0 0 1 0 0 0
37303189@N08,10382961186_b10684054a_o.jpg,84,(0-2),m,1 0,1 0 0 0 0 0 0 0
